query_name,cpu_cores,thread_count,mean_time,min_time,max_time,example_row
query_1,1,1,28.318027877807616,27.13326907157898,29.187251329421997,"(2191, 'armed_robbery_auto', 5)"
query_1,2,4,19.74669966697693,18.392811059951782,23.307971239089966,"(2191, 'armed_robbery_auto', 5)"
query_1,4,8,18.121805715560914,17.914171934127808,18.371131896972656,"(2191, 'armed_robbery_auto', 5)"
query_1,6,12,17.579282379150392,17.329025983810425,18.012455940246582,"(2191, 'armed_robbery_auto', 5)"
query_2,1,1,34.794287014007566,34.48411226272583,35.2387158870697,"(2191, 'armed_robbery_auto', 20)"
query_2,2,4,26.592089080810545,26.14418911933899,27.538712978363037,"(2191, 'armed_robbery_auto', 20)"
query_2,4,8,25.99335870742798,25.114551067352295,27.879181623458862,"(2191, 'armed_robbery_auto', 20)"
query_2,6,12,25.505489587783813,25.308463096618652,25.753936052322388,"(2191, 'armed_robbery_auto', 20)"
query_3,1,1,7.186408233642578,6.10295295715332,8.871833086013794,"('Santa Efig�nia', 3245, 105)"
query_3,2,4,4.627127265930175,4.485352277755737,4.7603137493133545,"('Santa Efig�nia', 3245, 105)"
query_3,4,8,4.691408014297485,4.626153945922852,4.888914108276367,"('Santa Efig�nia', 3245, 105)"
query_3,6,12,5.257756996154785,4.914302825927734,5.556666851043701,"('Santa Efig�nia', 3245, 105)"
query_4,1,1,31.15251417160034,29.59068274497986,31.968076944351196,"('armed_robbery_auto', 74665)"
query_4,2,4,22.40437183380127,22.190231800079346,22.707906007766724,"('armed_robbery_auto', 74665)"
query_4,4,8,21.68019895553589,21.370102882385254,22.555776119232178,"('armed_robbery_auto', 74665)"
query_4,6,12,21.380700826644897,21.29451894760132,21.50567126274109,"('armed_robbery_auto', 74665)"
query_5,1,1,3.7865153312683106,3.5626797676086426,3.9324448108673096,"(609435, 171480)"
query_5,2,4,2.990365505218506,2.916774034500122,3.0925493240356445,"(609435, 171480)"
query_5,4,8,2.960766410827637,2.8881142139434814,3.018777847290039,"(609435, 171480)"
query_5,6,12,3.007903814315796,2.9154627323150635,3.0597729682922363,"(609435, 171480)"
query_6,1,1,10.387175703048706,5.883311986923218,15.870824813842773,"(34854, 24)"
query_6,2,4,6.743786096572876,6.456493139266968,7.299795150756836,"(34854, 24)"
query_6,4,8,5.704858493804932,5.569611072540283,6.026219844818115,"(34854, 24)"
query_6,6,12,5.491939544677734,5.411221981048584,5.602915048599243,"(34854, 24)"
query_7,1,1,31.782200813293457,26.65048599243164,38.35849404335022,"(160538, 1564)"
query_7,2,4,11.441759920120239,9.1232271194458,14.015951156616211,"(160538, 1564)"
query_7,4,8,8.475474643707276,8.26870608329773,8.64807915687561,"(160538, 1564)"
query_7,6,12,8.871132230758667,8.465262174606323,9.371853113174438,"(160538, 1564)"
